session_id,customer_id,session_date,acquisition_channel,product_viewed,added_to_cart,checkout_started,order_id
1,244,2024-01-03,ads_social,1,1,1,1.0
2,892,2024-01-04,partner,1,1,1,
3,892,2024-01-04,partner,1,1,1,3.0
4,774,2024-01-05,referral,1,1,1,4.0
5,699,2024-01-07,ads_google,1,1,1,5.0
6,775,2024-01-08,referral,1,1,1,6.0
7,775,2024-01-10,referral,1,1,1,7.0
8,774,2024-01-10,referral,1,1,1,8.0
9,714,2024-01-11,seo,1,1,1,9.0
10,528,2024-01-12,ads_social,1,1,1,10.0
11,40,2024-01-13,organic,1,1,1,11.0
12,571,2024-01-14,ads_social,1,1,1,
13,710,2024-01-17,organic,1,1,1,
14,804,2024-01-18,ads_google,1,1,1,14.0
15,478,2024-01-18,ads_google,1,1,1,
16,77,2024-01-18,partner,1,1,1,16.0
17,873,2024-01-19,ads_social,1,1,1,17.0
18,165,2024-01-23,organic,1,1,1,18.0
19,278,2024-01-23,organic,1,1,1,19.0
20,345,2024-01-24,ads_social,1,1,1,20.0
21,856,2024-01-24,partner,1,1,1,21.0
22,808,2024-01-26,ads_social,1,1,1,22.0
23,209,2024-01-30,referral,1,1,1,23.0
24,303,2024-01-30,ads_social,1,1,1,24.0
25,202,2024-01-30,organic,1,1,1,25.0
26,643,2024-01-31,ads_social,1,1,1,26.0
27,532,2024-02-01,organic,1,1,1,27.0
28,111,2024-02-05,ads_google,1,1,1,28.0
29,258,2024-02-07,organic,1,1,1,29.0
30,820,2024-02-09,organic,1,1,1,30.0
31,504,2024-02-09,ads_social,1,1,1,31.0
32,89,2024-02-10,organic,1,1,1,32.0
33,808,2024-02-10,ads_social,1,1,1,33.0
34,400,2024-02-11,seo,1,1,1,34.0
35,362,2024-02-11,partner,1,1,1,35.0
36,426,2024-02-12,ads_google,1,1,1,36.0
37,643,2024-02-14,ads_social,1,1,1,37.0
38,805,2024-02-15,ads_social,1,1,1,38.0
39,497,2024-02-15,seo,1,1,1,39.0
40,246,2024-02-15,ads_google,1,1,1,40.0
41,547,2024-02-16,ads_social,1,1,1,41.0
42,640,2024-02-17,ads_google,1,1,1,42.0
43,407,2024-02-17,ads_social,1,1,1,43.0
44,297,2024-02-18,organic,1,1,1,44.0
45,245,2024-02-19,ads_social,1,1,1,45.0
